acquired,satellite_azimuth,satellite_id,sun_azimuth,sun_elevation,view_angle
2021-03-05T17:41:55.8159Z,107.3,1005,139.8,44.5,0.9
2021-03-12T17:22:05.268088Z,99.8,0e0f,132.8,44.2,5
2022-01-05T17:39:03.992298Z,276.3,1008,150.8,30.1,4
2019-07-08T16:42:47.323975Z,83.3,1050,93.9,53,5
2019-10-29T17:44:13.444729Z,276.3,0f15,153.2,41,4
2021-11-10T17:10:36.034308Z,100,2439,147,34.4,4
2022-05-06T17:52:14.456362Z,186.7,2416,122.3,65.7,0.2
2019-08-27T17:57:03.71935Z,276.1,105e,132.1,60.7,3
2016-11-12T17:15:17.665679Z,207.4,0e2f,147.9,34,0.5
2021-06-07T17:13:33.837214Z,177.1,2435,99.2,60.8,0.2
2023-06-22T17:47:10.146349Z,277.2,2438,104.2,67,5
2021-08-05T17:16:10.211475Z,277.7,245f,108.1,56.3,5
2022-01-31T17:26:39.770089Z,276.9,2251,142.5,32.2,4.9
2020-04-20T16:00:45.063456Z,260.2,0f44,101.3,39.9,5
2022-08-06T17:38:06.563508Z,100.9,247d,114.7,61.4,4
2023-11-05T17:08:10.198518Z,100.1,2420,145.6,35.6,5
2021-07-09T17:13:51.805133Z,102.5,2431,99,59.2,2.2
2018-04-03T17:28:06.980973Z,151.9,1032,127.4,52.3,0.9
2020-11-13T17:43:17.369925Z,275.2,1010,155.2,36.5,3
2021-03-27T17:17:22.236934Z,277.5,2420,126.1,48,5
2021-06-19T17:24:38.645066Z,103.3,2259,99.8,62.9,2
2021-01-10T18:08:26.74899Z,277.1,2407,157.3,33.3,4.1
